mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	HairPin:3_smorz.	decrescendo_hairpin
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	162														
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	163														
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	164														
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	165														
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	166														
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	167														
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0								<i>Sopr. solo</i>										
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mp												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	168	Vi-									24				
9	9	35	35	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	169										24				
9	9	281/8	281/8	0.375	25/32	25/32	Chord	4/4	1	1	3/32		1/16	3/2	170														
9	9	71/2	71/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	171	-dit									25				
9	9	285/8	285/8	0.375	29/32	29/32	Chord	4/4	1	1	3/32		1/16	3/2	172														
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	173														1
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	174														1
9	9	33	33	0.0	1/4	1/4	Spanner	4/4	2	1	0																		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	175														
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	176														
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	177														
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	178														
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	179														
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	180														
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	181														
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	182														
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	183														
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	184														
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	185	su-													
10	10	73/2	73/2	1.5	1/8	1/8	Chord	4/4	1	1	3/8		1/4	3/2	186	-um													
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	187	dul-									26				
10	10	39	39	0.125	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	188										26				
10	10	313/8	313/8	0.375	25/32	25/32	Chord	4/4	1	1	3/32		1/16	3/2	189														
10	10	79/2	79/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	190	-cem									27				
10	10	317/8	317/8	0.375	29/32	29/32	Chord	4/4	1	1	3/32		1/16	3/2	191														
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	192														
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	193														
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	194														
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	195														
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	196														
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	197														
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	198														
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	199														
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	200														
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	201														
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	202														
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	203														
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	204														
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	205														
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	206														
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	207														
11	11	40	40	0.16666666666666666	0	0	Chord	4/4	1	1	1/24		1/16	2/3	208	na-													
11	11	241/6	241/6	0.16666666666666666	1/24	1/24	Chord	4/4	1	1	1/24		1/16	2/3	209														
11	11	121/3	121/3	0.16666666666666666	1/12	1/12	Chord	4/4	1	1	1/24		1/16	2/3	210														
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	211	-tum													
11	11	42	42	0.0	1/2	1/2	Dynamic	4/4	1	1	0						p												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	212	mo-													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	213	-ri-													
11	11	40	40	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	214										28				
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	215										28				
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	216														
11	11	41	41	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	217														
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	218														
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	219														
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	220														
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	221										29				
11	11	40	40	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	222														
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	2	2	1/16		1/16	1	223										30				
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	224										30				
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	225														
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	226														
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	227														
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	228														
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	229										31				
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	230			articStaccatoAbove							31				
11	11	83/2	83/2	0.0	3/8	3/8	Dynamic	4/4	3	1	0						other-dynamics												
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	231			articStaccatoAbove											
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	232														
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	233	-en-									32				
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	234														
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	235	-tem,		articStaccatissimoAbove											
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	236	de-													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	237	-so-													
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	238										29				
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	239										29				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	240														
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	241										33				
12	12	44	44	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	242														
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	243														
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	244														
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	245														
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	246	-la-									34				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	247														
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	248	-tum,		articStaccatissimoAbove											
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	249	mo-													
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	250	-ri-													
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	251										33				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	252														
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	253														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	254										35				
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	255														
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	256														
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	257														
